date,key,year,month,cpi,adjustment
1982-12-01,198212,1982,12,38.63644,2.58382
1983-01-01,198301,1983,1,38.9069,2.56586
1983-02-01,198302,1983,2,39.02281,2.55824
1983-03-01,198303,1983,3,39.02281,2.55824
1983-04-01,198304,1983,4,39.29326,2.54063
1983-05-01,198305,1983,5,39.40917,2.53316
1983-06-01,198306,1983,6,39.52508,2.52573
1983-07-01,198307,1983,7,39.71826,2.51344
1983-08-01,198308,1983,8,39.87281,2.5037
1983-09-01,198309,1983,9,40.10463,2.48923
1983-10-01,198310,1983,10,40.22054,2.48206
1983-11-01,198311,1983,11,40.37508,2.47256
1983-12-01,198312,1983,12,40.45236,2.46783
1984-01-01,198401,1984,1,40.6069,2.45844
1984-02-01,198402,1984,2,40.72281,2.45144
1984-03-01,198403,1984,3,40.91599,2.43987
1984-04-01,198404,1984,4,41.18645,2.42385
1984-05-01,198405,1984,5,41.30236,2.41704
1984-06-01,198406,1984,6,41.4569,2.40803
1984-07-01,198407,1984,7,41.76599,2.39021
1984-08-01,198408,1984,8,41.95918,2.37921
1984-09-01,198409,1984,9,42.191,2.36614
1984-10-01,198410,1984,10,42.34554,2.3575
1984-11-01,198411,1984,11,42.46145,2.35106
1984-12-01,198412,1984,12,42.616,2.34254
1985-01-01,198501,1985,1,42.73191,2.33618
1985-02-01,198502,1985,2,43.00236,2.32149
1985-03-01,198503,1985,3,43.07963,2.31733
1985-04-01,198504,1985,4,43.27282,2.30698
1985-05-01,198505,1985,5,43.73645,2.28253
1985-06-01,198506,1985,6,43.891,2.27449
1985-07-01,198507,1985,7,44.16145,2.26056
1985-08-01,198508,1985,8,44.47055,2.24485
1985-09-01,198509,1985,9,44.58645,2.23901
1985-10-01,198510,1985,10,44.85691,2.22551
1985-11-01,198511,1985,11,45.08873,2.21407
1985-12-01,198512,1985,12,45.20464,2.20839
1986-01-01,198601,1986,1,45.35918,2.20087
1986-02-01,198602,1986,2,45.47509,2.19526
1986-03-01,198603,1986,3,45.78418,2.18044
1986-04-01,198604,1986,4,46.13191,2.164
1986-05-01,198605,1986,5,46.24782,2.15858
1986-06-01,198606,1986,6,46.32509,2.15498
1986-07-01,198607,1986,7,46.55691,2.14425
1986-08-01,198608,1986,8,46.71146,2.13715
1986-09-01,198609,1986,9,47.02055,2.12311
1986-10-01,198610,1986,10,47.21373,2.11442
1986-11-01,198611,1986,11,47.29101,2.11096
1986-12-01,198612,1986,12,47.32964,2.10924
1987-01-01,198701,1987,1,47.56146,2.09896
1987-02-01,198702,1987,2,47.75464,2.09047
1987-03-01,198703,1987,3,47.94783,2.08205
1987-04-01,198704,1987,4,48.21828,2.07037
1987-05-01,198705,1987,5,48.33419,2.0654
1987-06-01,198706,1987,6,48.4501,2.06046
1987-07-01,198707,1987,7,48.68192,2.05065
1987-08-01,198708,1987,8,49.02965,2.03611
1987-09-01,198709,1987,9,49.14556,2.03131
1987-10-01,198710,1987,10,49.45465,2.01861
1987-11-01,198711,1987,11,49.49328,2.01703
1987-12-01,198712,1987,12,49.64783,2.01075
1988-01-01,198801,1988,1,49.99556,1.99677
1988-02-01,198802,1988,2,50.1501,1.99062
1988-03-01,198803,1988,3,50.38192,1.98146
1988-04-01,198804,1988,4,50.45919,1.97842
1988-05-01,198805,1988,5,50.61374,1.97238
1988-06-01,198806,1988,6,50.80692,1.96488
1988-07-01,198807,1988,7,51.11601,1.953
1988-08-01,198808,1988,8,51.42511,1.94126
1988-09-01,198809,1988,9,51.54101,1.9369
1988-10-01,198810,1988,10,51.69556,1.93111
1988-11-01,198811,1988,11,51.81147,1.92679
1988-12-01,198812,1988,12,51.88874,1.92392
1989-01-01,198901,1989,1,52.08192,1.91678
1989-02-01,198902,1989,2,52.31374,1.90829
1989-03-01,198903,1989,3,52.66147,1.89569
1989-04-01,198904,1989,4,52.66147,1.89569
1989-05-01,198905,1989,5,52.89329,1.88738
1989-06-01,198906,1989,6,53.08647,1.88051
1989-07-01,198907,1989,7,53.62738,1.86154
1989-08-01,198908,1989,8,53.82056,1.85486
1989-09-01,198909,1989,9,53.82056,1.85486
1989-10-01,198910,1989,10,54.12966,1.84427
1989-11-01,198911,1989,11,54.2842,1.83902
1989-12-01,198912,1989,12,54.43875,1.8338
1990-01-01,199001,1990,1,54.7092,1.82473
1990-02-01,199002,1990,2,54.86375,1.81959
1990-03-01,199003,1990,3,55.36602,1.80308
1990-04-01,199004,1990,4,55.4433,1.80057
1990-05-01,199005,1990,5,55.52057,1.79807
1990-06-01,199006,1990,6,56.02284,1.78194
1990-07-01,199007,1990,7,56.67966,1.7613
1990-08-01,199008,1990,8,57.22057,1.74465
1990-09-01,199009,1990,9,57.1433,1.747
1990-10-01,199010,1990,10,57.22057,1.74465
1990-11-01,199011,1990,11,57.22057,1.74465
1990-12-01,199012,1990,12,57.33648,1.74112
1991-01-01,199101,1991,1,57.87739,1.72485
1991-02-01,199102,1991,2,58.10921,1.71797
1991-03-01,199103,1991,3,58.34103,1.71114
1991-04-01,199104,1991,4,58.34103,1.71114
1991-05-01,199105,1991,5,58.34103,1.71114
1991-06-01,199106,1991,6,58.57285,1.70437
1991-07-01,199107,1991,7,58.99785,1.69209
1991-08-01,199108,1991,8,59.19103,1.68657
1991-09-01,199109,1991,9,59.22967,1.68547
1991-10-01,199110,1991,10,59.34558,1.68217
1991-11-01,199111,1991,11,59.42285,1.67999
1991-12-01,199112,1991,12,59.57739,1.67563
1992-01-01,199201,1992,1,59.96376,1.66483
1992-02-01,199202,1992,2,60.19558,1.65842
1992-03-01,199203,1992,3,60.46603,1.651
1992-04-01,199204,1992,4,60.38876,1.65312
1992-05-01,199205,1992,5,60.35012,1.65417
1992-06-01,199206,1992,6,60.69785,1.6447
1992-07-01,199207,1992,7,61.04558,1.63533
1992-08-01,199208,1992,8,61.23876,1.63017
1992-09-01,199209,1992,9,61.04558,1.63533
1992-10-01,199210,1992,10,61.2774,1.62914
1992-11-01,199211,1992,11,61.2774,1.62914
1992-12-01,199212,1992,12,61.31603,1.62812
1993-01-01,199301,1993,1,61.77967,1.6159
1993-02-01,199302,1993,2,62.05013,1.60885
1993-03-01,199303,1993,3,62.20467,1.60486
